Brand,Model Name,Model Variant,Car Type,Transmission,Fuel Type,Year,Kilometers,Owner,State,Accidental,Car_Age,KM_Per_Year,Price
Toyota,Innova,E,MPV,Manual,Petrol,2012,40036,1st,Delhi,Yes,14,2859.714285714286,375833
Maruti Suzuki,S-Presso,L,Hatchback,Manual,Petrol,2020,127478,2nd,Jharkhand,No,6,21246.333333333332,662112
Hyundai,i10,Sportz,Hatchback,Manual,Petrol,2009,98047,2nd,Maharashtra,No,17,5767.470588235294,926376
Maruti Suzuki,Dzire,Z,Sedan,Automatic,Petrol,2015,90570,1st,West Bengal,No,11,8233.636363636364,882057
Toyota,Glanza,ZX,Hatchback,Manual,CNG,2021,97851,1st,Maharashtra,No,5,19570.2,1865575
Maruti Suzuki,Dzire,ZX,Sedan,Manual,Petrol,2016,101906,1st,Maharashtra,No,10,10190.6,1125778
Maruti Suzuki,Dzire,Z,Sedan,Automatic,Diesel,2010,107584,2nd,Delhi,No,16,6724.0,832450
Mahindra,Scorpio,W10,SUV,Manual,Petrol,2014,107408,3rd+,Tamil Nadu,No,12,8950.666666666666,500259
Maruti Suzuki,Celerio,V,Hatchback,Manual,Petrol,2022,81785,1st,West Bengal,No,4,20446.25,1626900
Renault,Kiger,RXZ,SUV,Manual,Diesel,2022,134161,2nd,Tamil Nadu,No,4,33540.25,381150
Maruti Suzuki,Dzire,Base,Sedan,Manual,CNG,2008,138725,2nd,Delhi,No,18,7706.944444444444,540552
BMW,X3,M Sport,Luxury,Manual,Petrol,2020,125575,1st,Karnataka,No,6,20929.166666666668,1815000
Toyota,Urban Cruiser,E,SUV,Manual,Diesel,2022,24557,1st,Kerala,Yes,4,6139.25,1419690
Maruti Suzuki,Dzire,Base,Sedan,Manual,Diesel,2023,74165,2nd,Tamil Nadu,No,3,24721.666666666668,720046
Tata,Harrier,XM,SUV,Manual,Petrol,2022,118872,2nd,Kerala,No,4,29718.0,329175
Maruti Suzuki,WagonR,L,Hatchback,Manual,Diesel,2008,73053,1st,Uttar Pradesh,No,18,4058.5,130917
Volkswagen,Polo,Trendline,Hatchback,Manual,Petrol,2020,47576,1st,Delhi,No,6,7929.333333333333,2090000
Mahindra,Thar,W10,SUV,Automatic,Diesel,2019,167552,2nd,Telangana,No,7,23936.0,997850
Hyundai,i20,Base,Hatchback,Manual,Petrol,2017,144720,2nd,Karnataka,No,9,16080.0,254100
Maruti Suzuki,Swift,L,Sedan,Automatic,Diesel,2020,142371,1st,Gujarat,No,6,23728.5,1324224
Volkswagen,Polo,Highline+,Hatchback,Manual,Petrol,2013,126386,3rd+,West Bengal,No,13,9722.0,374343
Maruti Suzuki,Ignis,Base,Hatchback,Manual,Petrol,2020,155620,1st,Assam,No,6,25936.666666666668,1282500
Hyundai,i10,SX,Hatchback,Manual,Diesel,2008,47334,1st,Gujarat,No,18,2629.6666666666665,363000
Ford,Endeavour,Titanium+,SUV,Manual,Petrol,2020,148087,1st,Delhi,No,6,24681.166666666668,1645875
Maruti Suzuki,Celerio,L,Hatchback,Manual,Diesel,2017,147832,1st,Gujarat,No,9,16425.777777777777,942480
Toyota,Etios,G+,Sedan,Manual,Petrol,2017,114127,2nd,Odisha,No,9,12680.777777777777,250173
Hyundai,Grand i10,Asta,Hatchback,Manual,Petrol,2020,131904,1st,West Bengal,No,6,21984.0,742500
Tata,Harrier,XZ,SUV,Manual,Petrol,2022,82158,1st,Telangana,No,4,20539.5,1507275
Maruti Suzuki,Celerio,L,Hatchback,Manual,CNG,2020,143593,1st,Uttar Pradesh,No,6,23932.166666666668,714780
Maruti Suzuki,Celerio,ZX,Hatchback,Manual,Diesel,2016,27401,2nd,Uttar Pradesh,No,10,2740.1,821620
Hyundai,Venue,Asta,SUV,Manual,Diesel,2023,27785,1st,Gujarat,Yes,3,9261.666666666666,1390195
Maruti Suzuki,S-Presso,Z,Hatchback,Manual,Diesel,2021,69001,2nd,Telangana,No,5,13800.2,530560
Maruti Suzuki,Celerio,Base,Hatchback,Manual,Petrol,2020,84868,1st,Rajasthan,No,6,14144.666666666666,1570350
Maruti Suzuki,WagonR,ZX,Hatchback,Manual,Petrol,2001,169788,3rd+,Karnataka,No,25,6791.52,110261
Toyota,Fortuner,E,SUV,Manual,Petrol,2013,111854,2nd,Rajasthan,No,13,8604.153846153846,434511
Tata,Tigor,XT,Sedan,Manual,Petrol,2022,51156,2nd,Telangana,No,4,12789.0,1200078
Hyundai,i20,SX,Hatchback,Automatic,Diesel,2023,56677,1st,Delhi,No,3,18892.333333333332,1473780
Nissan,Sunny,XV Premium (O),Sedan,Manual,Petrol,2015,169248,1st,Rajasthan,No,11,15386.181818181818,426431
Maruti Suzuki,Swift,Z,Sedan,Manual,Diesel,2023,128349,1st,Uttar Pradesh,No,3,42783.0,284287
Honda,WR-V,VX,SUV,Manual,Diesel,2021,140680,1st,Maharashtra,No,5,28136.0,693000
Toyota,Innova,G+,MPV,Manual,CNG,2015,34385,2nd,Uttar Pradesh,No,11,3125.909090909091,333564
Hyundai,Grand i10,SX(O),Hatchback,Manual,Petrol,2018,175931,2nd,Kerala,No,8,21991.375,877800
Maruti Suzuki,Swift,V,Sedan,Manual,CNG,2019,72937,1st,West Bengal,No,7,10419.57142857143,604584
Hyundai,i10,SX,Hatchback,Manual,Diesel,2013,88712,2nd,Tamil Nadu,No,13,6824.0,555825
Maruti Suzuki,Swift,Base,Sedan,Manual,Diesel,2007,127189,3rd+,West Bengal,No,19,6694.1578947368425,581934
Renault,Kwid,RXZ,Hatchback,Automatic,CNG,2018,112611,1st,Delhi,No,8,14076.375,724185
Maruti Suzuki,Celerio,Z,Hatchback,Manual,Diesel,2022,49294,2nd,Gujarat,No,4,12323.5,2032800
Mahindra,TUV300,W6,SUV,Manual,Diesel,2018,111318,1st,Delhi,No,8,13914.75,181912
Toyota,Urban Cruiser,E,SUV,Manual,Diesel,2022,170441,1st,Karnataka,No,4,42610.25,1645875
Hyundai,i10,Sportz,Hatchback,Manual,Petrol,2011,52544,2nd,Maharashtra,No,15,3502.9333333333334,880057
Tata,Tigor,XZA,Sedan,Manual,Petrol,2017,153757,1st,Delhi,No,9,17084.11111111111,603487
Tata,Tiago,XZA,Hatchback,Manual,Petrol,2019,127221,1st,Delhi,No,7,18174.428571428572,866250
Mahindra,TUV300,W8(O),SUV,Automatic,CNG,2019,131116,1st,Maharashtra,No,7,18730.85714285714,887126
Hyundai,Creta,SX(O),SUV,Manual,Petrol,2019,151187,1st,Tamil Nadu,No,7,21598.14285714286,545737
Toyota,Innova,VX,MPV,Manual,Petrol,2012,124749,2nd,Rajasthan,No,14,8910.642857142857,310365
Chevrolet,Sail,LS,Sedan,Manual,Diesel,2012,159266,2nd,Karnataka,No,14,11376.142857142857,417268
Maruti Suzuki,Dzire,Z,Sedan,Manual,Petrol,2010,157662,2nd,Gujarat,No,16,9853.875,716943
Honda,Jazz,E,Sedan,Manual,Petrol,2014,93816,2nd,Rajasthan,Yes,12,7818.0,479504
Toyota,Urban Cruiser,ZX,SUV,Manual,Petrol,2020,38830,1st,Maharashtra,No,6,6471.666666666667,997920
Maruti Suzuki,Ignis,Base,Hatchback,Manual,Hybrid,2018,124429,1st,Delhi,No,8,15553.625,1091475
Hyundai,Aura,Base,Sedan,Manual,Diesel,2021,93438,1st,Gujarat,No,5,18687.6,818235
Maruti Suzuki,S-Presso,L,Hatchback,Manual,Petrol,2023,74489,2nd,Rajasthan,No,3,24829.666666666668,628404
Maruti Suzuki,Swift,Base,Sedan,Manual,Diesel,2012,38561,2nd,Delhi,No,14,2754.3571428571427,708092
Maruti Suzuki,Baleno,Z,Hatchback,Manual,Diesel,2022,167460,2nd,Maharashtra,No,4,41865.0,1372140
Ford,EcoSport,Ambiente,SUV,Manual,Diesel,2017,177636,2nd,Tamil Nadu,No,9,19737.333333333332,320166
Maruti Suzuki,Dzire,Z,Sedan,Manual,Petrol,2013,87605,3rd+,Andhra Pradesh,No,13,6738.846153846154,102023
Ford,Endeavour,Trend+,SUV,Manual,Diesel,2005,123485,2nd,Gujarat,No,21,5880.238095238095,419265
Ford,EcoSport,Sports,SUV,Automatic,Petrol,2014,177824,2nd,Madhya Pradesh,No,12,14818.666666666666,238981
Maruti Suzuki,Alto,Z,Hatchback,Manual,Diesel,2001,49891,2nd,Maharashtra,No,25,1995.64,559020
Tata,Nexon,XT,SUV,Manual,Petrol,2020,41816,1st,West Bengal,No,6,6969.333333333333,1848000
Maruti Suzuki,S-Presso,ZX,Hatchback,Automatic,Petrol,2019,116775,1st,Maharashtra,No,7,16682.14285714286,1166319
Maruti Suzuki,Alto,ZX,Hatchback,Manual,Diesel,2011,176759,2nd,Maharashtra,No,15,11783.933333333332,129373
Hyundai,i20,SX(O),Hatchback,Manual,Petrol,2016,137516,2nd,Maharashtra,No,10,13751.6,152460
Maruti Suzuki,S-Presso,Base,Hatchback,Manual,Petrol,2020,146965,2nd,Delhi,No,6,24494.166666666668,798600
Kia,Sonet,HTX+,SUV,Manual,Diesel,2021,35596,1st,Andhra Pradesh,No,5,7119.2,399000
Mahindra,Scorpio,W8(O),SUV,Manual,Petrol,2018,175587,1st,Telangana,No,8,21948.375,303187
Volkswagen,Ameo,Highline,Sedan,Manual,Petrol,2019,30300,1st,Delhi,No,7,4328.571428571428,512050
Maruti Suzuki,Celerio,ZX,Hatchback,Automatic,Diesel,2020,51912,1st,Karnataka,No,6,8652.0,1705374
Tata,Tigor,XE,Sedan,Manual,Petrol,2020,143584,1st,Delhi,No,6,23930.666666666668,1489125
Mahindra,Scorpio,W10,SUV,Manual,Electric,2005,171789,2nd,Maharashtra,No,21,8180.428571428572,784025
Maruti Suzuki,Ertiga,Base,MPV,Manual,Diesel,2016,100991,1st,Kerala,No,10,10099.1,149625
Hyundai,Creta,SX,SUV,Manual,Petrol,2020,147663,1st,Maharashtra,No,6,24610.5,952875
Maruti Suzuki,WagonR,ZX,Hatchback,Manual,Diesel,2005,87732,3rd+,Madhya Pradesh,No,21,4177.714285714285,405026
Maruti Suzuki,Baleno,V,Hatchback,Manual,Diesel,2019,35516,2nd,Tamil Nadu,No,7,5073.714285714285,880880
Maruti Suzuki,S-Presso,L,Hatchback,Automatic,Petrol,2020,155766,1st,Karnataka,No,6,25961.0,609840
Maruti Suzuki,Dzire,ZX,Sedan,Manual,Petrol,2015,20180,2nd,Karnataka,No,11,1834.5454545454545,973304
Jaguar,F-Pace,Prestige,Luxury,Automatic,Diesel,2021,26622,1st,Rajasthan,No,5,5324.4,804650
Mahindra,XUV500,W8(O),SUV,Manual,Petrol,2012,90763,3rd+,Gujarat,No,14,6483.071428571428,704651
Toyota,Innova,VX,MPV,Manual,Diesel,2022,120549,1st,Chhattisgarh,No,4,30137.25,427500
Honda,City,V,Sedan,Manual,Diesel,2001,84945,3rd+,West Bengal,No,25,3397.8,750048
Hyundai,Venue,SX(O),SUV,Manual,Petrol,2019,159692,2nd,Andhra Pradesh,No,7,22813.14285714286,506929
Maruti Suzuki,Swift,Z,Sedan,Automatic,Diesel,2017,143965,1st,Delhi,No,9,15996.111111111111,697028
Hyundai,i20,Sportz,Hatchback,Manual,Petrol,2009,131979,2nd,Delhi,Yes,17,7763.470588235294,78483
Tata,Nexon,XZA+,SUV,Automatic,Petrol,2018,50755,1st,Telangana,No,8,6344.375,1160601
Audi,Q5,Premium,Luxury,Manual,Petrol,2023,41428,1st,Karnataka,Yes,3,13809.333333333334,1077247
MG,ZS EV,Savvy,Luxury,Manual,Petrol,2022,137603,2nd,Maharashtra,No,4,34400.75,638880
Toyota,Etios,V,Sedan,Manual,Diesel,2014,168835,3rd+,Gujarat,No,12,14069.583333333334,323296
Mahindra,Bolero,W4,SUV,Manual,Petrol,2018,118983,1st,Rajasthan,No,8,14872.875,209475
Hyundai,i10,SX,Hatchback,Manual,Petrol,2010,118712,3rd+,Delhi,No,16,7419.5,204187
Skoda,Rapid,Monte Carlo,Sedan,Manual,Petrol,2017,63919,1st,Telangana,Yes,9,7102.111111111111,457847
Hyundai,Aura,SX,Sedan,Manual,CNG,2022,77238,2nd,Gujarat,Yes,4,19309.5,656146
Jaguar,XF,Portfolio,Sedan,Manual,CNG,2020,58775,1st,West Bengal,No,6,9795.833333333334,518215
Honda,City,E,Sedan,Manual,Diesel,2020,166535,1st,Maharashtra,No,6,27755.833333333332,862125
Tata,Nexon,XT,SUV,Manual,Petrol,2017,141847,1st,Gujarat,No,9,15760.777777777777,1212750
Maruti Suzuki,Baleno,V,Hatchback,Manual,Petrol,2016,32718,2nd,Delhi,No,10,3271.8,1016400
Hyundai,Creta,SX(O),SUV,Manual,Diesel,2023,50994,1st,Delhi,Yes,3,16998.0,1575802
Maruti Suzuki,Dzire,Z,Sedan,Manual,Diesel,2013,53852,1st,Maharashtra,No,13,4142.461538461538,367523
Hyundai,Grand i10,Base,Hatchback,Manual,Petrol,2014,23915,1st,Haryana,No,12,1992.9166666666667,574750
Tata,Tigor,XZ,Sedan,Manual,Petrol,2020,12199,1st,Jharkhand,No,6,2033.1666666666667,1624500
Toyota,Glanza,V,Hatchback,Manual,Diesel,2022,50432,1st,Assam,No,4,12608.0,413250
Toyota,Fortuner,V,SUV,Manual,Petrol,2012,55083,1st,Delhi,No,14,3934.5,607934
Maruti Suzuki,WagonR,L,Hatchback,Manual,Petrol,2016,149950,2nd,Karnataka,No,10,14995.0,536659
Hyundai,i10,SX,Hatchback,Manual,Petrol,2010,30986,1st,Delhi,No,16,1936.625,605000
Toyota,Glanza,ZX,Hatchback,Automatic,CNG,2021,35034,1st,Maharashtra,No,5,7006.8,1613898
Renault,Kwid,RXT,Hatchback,Manual,Petrol,2023,162422,1st,Karnataka,No,3,54140.666666666664,1402500
Honda,Jazz,S,Sedan,Automatic,Petrol,2020,95950,2nd,Gujarat,No,6,15991.666666666666,968062
Ford,EcoSport,Titanium+,SUV,Manual,Petrol,2013,48864,1st,Karnataka,No,13,3758.769230769231,762300
Maruti Suzuki,Ignis,ZX,Hatchback,Manual,Petrol,2020,149359,1st,Tamil Nadu,No,6,24893.166666666668,891000
Toyota,Fortuner,V,SUV,Manual,Diesel,2018,67548,2nd,Delhi,No,8,8443.5,990380
Mahindra,Thar,W10,SUV,Manual,Petrol,2013,142017,2nd,Delhi,No,13,10924.384615384615,838530
Maruti Suzuki,Baleno,L,Hatchback,Manual,CNG,2020,76296,2nd,Gujarat,No,6,12716.0,230414
Maruti Suzuki,S-Presso,Z,Hatchback,Manual,Diesel,2020,87729,2nd,Maharashtra,No,6,14621.5,1680109
Tata,Tigor,XT,Sedan,Manual,Petrol,2022,165311,1st,Karnataka,No,4,41327.75,313500
Tata,Harrier,XT,SUV,Manual,Petrol,2019,33571,1st,Delhi,No,7,4795.857142857143,485100
Honda,WR-V,VX,SUV,Manual,Petrol,2020,163385,1st,Telangana,Yes,6,27230.833333333332,1315639
Hyundai,Aura,Sportz,Sedan,Manual,CNG,2022,58894,1st,Telangana,No,4,14723.5,518215
Volkswagen,Vento,Highline+,Sedan,Manual,Diesel,2012,146518,3rd+,Karnataka,Yes,14,10465.57142857143,317188
Maruti Suzuki,Ertiga,Z,MPV,Manual,CNG,2023,10260,1st,Delhi,No,3,3420.0,2084775
Honda,Brio,S,Hatchback,Automatic,Diesel,2015,70865,1st,Uttar Pradesh,No,11,6442.272727272727,190921
Hyundai,Venue,SX,SUV,Automatic,Petrol,2020,131113,2nd,Telangana,No,6,21852.166666666668,838530
Hyundai,Creta,Asta,SUV,Manual,Petrol,2019,73615,1st,Punjab,No,7,10516.42857142857,850468
Hyundai,Venue,Sportz,SUV,Manual,Petrol,2020,24097,1st,Karnataka,No,6,4016.1666666666665,1732500
Maruti Suzuki,Baleno,Base,Hatchback,Manual,Petrol,2022,54105,1st,Madhya Pradesh,No,4,13526.25,330600
Skoda,Rapid,L&K,Sedan,Manual,Diesel,2017,140178,2nd,Karnataka,No,9,15575.333333333334,917301
Maruti Suzuki,Ignis,ZX,Hatchback,Manual,Petrol,2017,141430,1st,Haryana,No,9,15714.444444444445,269325
Range Rover,Velar,Autobiography,Luxury,Manual,Diesel,2019,100548,1st,Delhi,No,7,14364.0,825825
Maruti Suzuki,Alto,ZX,Hatchback,Manual,Diesel,2008,148454,2nd,Uttar Pradesh,No,18,8247.444444444445,707632
Maruti Suzuki,Baleno,Z,Hatchback,Manual,Petrol,2019,146641,1st,Maharashtra,No,7,20948.714285714286,1212750
Tata,Tigor,XZ,Sedan,Automatic,Petrol,2023,11826,1st,Karnataka,No,3,3942.0,2069100
Tata,Altroz,XZA+,Hatchback,Automatic,Diesel,2022,89539,1st,Karnataka,No,4,22384.75,1263240
Maruti Suzuki,Swift,Base,Sedan,Manual,Petrol,2015,167779,1st,Delhi,No,11,15252.636363636364,164587
Honda,WR-V,ZX,SUV,Automatic,Diesel,2017,33205,2nd,Gujarat,No,9,3689.4444444444443,1183333
Toyota,Fortuner,ZX,SUV,Manual,Petrol,2009,125829,3rd+,Maharashtra,No,17,7401.705882352941,733237
Maruti Suzuki,Ignis,Z,Hatchback,Manual,Petrol,2017,154550,1st,Karnataka,No,9,17172.222222222223,667012
Tata,Harrier,XZA+,SUV,Manual,Petrol,2019,116358,1st,Telangana,No,7,16622.571428571428,1212750
Hyundai,Verna,SX,Sedan,Manual,Diesel,2016,78936,1st,Rajasthan,No,10,7893.6,329773
Maruti Suzuki,Dzire,Base,Sedan,Manual,Diesel,2017,117884,1st,Karnataka,No,9,13098.222222222223,932662
Tata,Harrier,XZA,SUV,Manual,Diesel,2019,154904,2nd,Karnataka,No,7,22129.14285714286,373527
Hyundai,Grand i10,Magna,Hatchback,Automatic,Diesel,2017,38425,2nd,Delhi,No,9,4269.444444444444,447216
Maruti Suzuki,WagonR,ZX,Hatchback,Manual,Hybrid,2012,66136,1st,Bihar,No,14,4724.0,567036
Hyundai,i20,Asta,Hatchback,Automatic,Petrol,2020,42696,1st,Uttar Pradesh,No,6,7116.0,1881000
Maruti Suzuki,S-Presso,L,Hatchback,Automatic,CNG,2022,76918,2nd,Tamil Nadu,No,4,19229.5,337941
Maruti Suzuki,Swift,ZX,Sedan,Manual,Petrol,2011,146412,2nd,Uttar Pradesh,Yes,15,9760.8,156683
Maruti Suzuki,Swift,Base,Sedan,Manual,Diesel,2022,87734,1st,Delhi,No,4,21933.5,545490
Maruti Suzuki,Baleno,L,Hatchback,Manual,Diesel,2015,112697,1st,Karnataka,No,11,10245.181818181818,554400
Honda,City,VX,Sedan,Manual,Petrol,2009,18737,1st,Rajasthan,No,17,1102.1764705882354,148912
Toyota,Urban Cruiser,G+,SUV,Automatic,Petrol,2020,70422,2nd,Kerala,Yes,6,11737.0,663941
Ford,Endeavour,Trend+,SUV,Manual,Diesel,2019,79266,1st,Karnataka,Yes,7,11323.714285714286,603848
Volkswagen,Taigun,Highline+,SUV,Manual,Diesel,2023,64286,1st,Jharkhand,No,3,21428.666666666668,347130
MG,ZS EV,Savvy,Luxury,Manual,CNG,2022,80244,1st,Tamil Nadu,No,4,20061.0,2000130
Toyota,Glanza,E,Hatchback,Automatic,Petrol,2023,40951,1st,Andhra Pradesh,No,3,13650.333333333334,627000
Maruti Suzuki,WagonR,Base,Hatchback,Manual,Petrol,2007,54497,1st,Delhi,No,19,2868.2631578947367,894795
MG,Astor,Super,SUV,Manual,Petrol,2022,79527,1st,Telangana,Yes,4,19881.75,1092216
Honda,Amaze,V,Sedan,Manual,Diesel,2014,152517,2nd,Odisha,No,12,12709.75,163803
Maruti Suzuki,S-Presso,ZX,Hatchback,Automatic,CNG,2022,115217,1st,Kerala,No,4,28804.25,482476
Nissan,Micra,XV,Hatchback,Manual,Petrol,2013,51428,1st,Karnataka,No,13,3956.0,263175
Maruti Suzuki,Ignis,Z,Hatchback,Manual,Petrol,2019,179488,2nd,Maharashtra,No,7,25641.14285714286,960498
Honda,WR-V,ZX,SUV,Automatic,Petrol,2019,18318,1st,Tamil Nadu,Yes,7,2616.8571428571427,203863
Hyundai,Verna,Base,Sedan,Manual,Petrol,2011,141920,3rd+,Maharashtra,Yes,15,9461.333333333334,318735
Mahindra,Thar,W8,SUV,Manual,Petrol,2019,27963,1st,Maharashtra,No,7,3994.714285714286,1051050
Volkswagen,Polo,Trendline,Hatchback,Manual,Petrol,2017,83491,2nd,Tamil Nadu,No,9,9276.777777777777,353707
Maruti Suzuki,WagonR,Z,Hatchback,Manual,CNG,2008,10691,2nd,Karnataka,No,18,593.9444444444445,477962
Maruti Suzuki,Baleno,L,Hatchback,Automatic,Petrol,2022,33254,1st,Gujarat,No,4,8313.5,2090880
Maruti Suzuki,S-Presso,Z,Hatchback,Manual,Petrol,2020,88927,1st,Maharashtra,No,6,14821.166666666666,1406790
Skoda,Slavia,Monte Carlo,Sedan,Automatic,Diesel,2023,108629,1st,Tamil Nadu,No,3,36209.666666666664,948337
Maruti Suzuki,Alto,V,Hatchback,Manual,Petrol,2012,90920,3rd+,Maharashtra,Yes,14,6494.285714285715,418567
Mahindra,Thar,W8,SUV,Manual,Petrol,2022,26373,1st,Maharashtra,No,4,6593.25,808500
Maruti Suzuki,Baleno,ZX,Hatchback,Manual,Petrol,2018,156080,2nd,Karnataka,No,8,19510.0,768398
Maruti Suzuki,Ignis,ZX,Hatchback,Manual,CNG,2018,95263,1st,Karnataka,No,8,11907.875,687317
Mahindra,TUV300,W6,SUV,Manual,Petrol,2017,18052,1st,Tamil Nadu,No,9,2005.7777777777778,808500
Maruti Suzuki,Swift,Base,Sedan,Manual,Petrol,2017,19231,1st,Delhi,No,9,2136.777777777778,512050
Maruti Suzuki,S-Presso,ZX,Hatchback,Manual,Diesel,2020,70984,1st,West Bengal,No,6,11830.666666666666,1757052
Maruti Suzuki,Baleno,Z,Hatchback,Manual,Petrol,2023,57014,2nd,Kerala,No,3,19004.666666666668,1145529
Toyota,Glanza,ZX,Hatchback,Manual,Diesel,2020,45243,1st,Delhi,No,6,7540.5,831600
Honda,Brio,E,Hatchback,Manual,CNG,2016,41227,1st,Bihar,No,10,4122.7,568575
Honda,WR-V,VX,SUV,Manual,Petrol,2021,144532,1st,Tamil Nadu,No,5,28906.4,1559250
Hyundai,i10,Base,Hatchback,Manual,CNG,2013,177711,2nd,Maharashtra,No,13,13670.076923076924,455202
Maruti Suzuki,S-Presso,ZX,Hatchback,Manual,Petrol,2021,147200,2nd,Delhi,No,5,29440.0,235224
Chevrolet,Sail,LS,Sedan,Manual,Petrol,2015,178630,1st,Delhi,No,11,16239.09090909091,658350
Mahindra,Bolero,W8(O),SUV,Manual,Petrol,2000,84421,3rd+,Rajasthan,No,26,3246.9615384615386,178988
Maruti Suzuki,Ignis,Z,Hatchback,Manual,Petrol,2020,166510,1st,Maharashtra,No,6,27751.666666666668,259875
Maruti Suzuki,Celerio,L,Hatchback,Manual,Petrol,2016,105668,2nd,Gujarat,No,10,10566.8,146361
Tata,Tigor,XZA+,Sedan,Manual,Hybrid,2017,159123,1st,Delhi,No,9,17680.333333333332,172816
MG,Astor,Savvy,SUV,Manual,Diesel,2022,162960,1st,Karnataka,No,4,40740.0,779625
Honda,Jazz,ZX,Sedan,Manual,Diesel,2009,44993,2nd,Maharashtra,No,17,2646.6470588235293,764739
Jaguar,XE,Portfolio,Sedan,Automatic,Petrol,2022,90876,2nd,Karnataka,No,4,22719.0,1320085
Hyundai,Grand i10,Era,Hatchback,Manual,CNG,2019,60063,1st,Maharashtra,No,7,8580.42857142857,1209169
Mahindra,Bolero,AX7,SUV,Manual,Petrol,2023,104815,1st,Telangana,No,3,34938.333333333336,952875
Maruti Suzuki,Swift,V,Sedan,Manual,Petrol,2011,120652,3rd+,West Bengal,No,15,8043.466666666666,614264
Maruti Suzuki,Dzire,Base,Sedan,Manual,CNG,2017,94105,1st,Maharashtra,No,9,10456.111111111111,302292
Hyundai,Verna,Base,Sedan,Manual,Petrol,2016,172892,1st,Andhra Pradesh,Yes,10,17289.2,405022
Maruti Suzuki,WagonR,ZX,Hatchback,Manual,Petrol,2014,96430,3rd+,Kerala,No,12,8035.833333333333,478667
Audi,Q7,Premium,Luxury,Manual,Petrol,2015,154552,2nd,Telangana,No,11,14050.181818181818,335412
Hyundai,Verna,Sportz,Sedan,Automatic,Diesel,2018,36926,1st,Madhya Pradesh,No,8,4615.75,694925
Maruti Suzuki,Celerio,ZX,Hatchback,Manual,Petrol,2021,140108,1st,Maharashtra,No,5,28021.6,1692900
Maruti Suzuki,Dzire,V,Sedan,Manual,Petrol,2008,165247,2nd,Telangana,No,18,9180.388888888889,531069
Toyota,Etios,V,Sedan,Manual,Petrol,2013,23635,1st,Odisha,No,13,1818.076923076923,347462
Tata,Tigor,XZA,Sedan,Automatic,Petrol,2017,149129,1st,Karnataka,No,9,16569.88888888889,603487
Maruti Suzuki,S-Presso,L,Hatchback,Automatic,Hybrid,2022,127918,1st,Delhi,No,4,31979.5,457380
Renault,Triber,RXE,MPV,Manual,Diesel,2023,67182,2nd,Rajasthan,No,3,22394.0,509124
Mahindra,TUV300,W8(O),SUV,Manual,Petrol,2015,115674,1st,Karnataka,Yes,11,10515.818181818182,484621
Maruti Suzuki,Baleno,V,Hatchback,Manual,CNG,2017,177115,2nd,West Bengal,No,9,19679.444444444445,386232
Hyundai,Venue,Magna,SUV,Manual,Electric,2019,47041,2nd,Maharashtra,No,7,6720.142857142857,234788
Hyundai,i20,Asta,Hatchback,Manual,Diesel,2021,107497,1st,Karnataka,No,5,21499.4,660000
Maruti Suzuki,Dzire,Base,Sedan,Manual,Petrol,2017,116646,1st,Maharashtra,No,9,12960.666666666666,1042387
Maruti Suzuki,Celerio,V,Hatchback,Automatic,Petrol,2017,79163,2nd,Maharashtra,No,9,8795.888888888889,648463
Maruti Suzuki,S-Presso,Base,Hatchback,Manual,Petrol,2023,136052,2nd,Tamil Nadu,No,3,45350.666666666664,1161600
Hyundai,Venue,Era,SUV,Manual,Diesel,2021,13564,1st,Andhra Pradesh,No,5,2712.8,598500
Volkswagen,Ameo,Highline,Sedan,Manual,Diesel,2018,95584,1st,Tamil Nadu,No,8,11948.0,763686
Toyota,Fortuner,G,SUV,Manual,Petrol,2018,53434,1st,Maharashtra,No,8,6679.25,1195771
Nissan,Micra,XV Premium (O),Hatchback,Automatic,Petrol,2012,157151,2nd,Karnataka,No,14,11225.07142857143,439230
Renault,Triber,RXT,MPV,Manual,Petrol,2021,165835,1st,Gujarat,No,5,33167.0,412500
Maruti Suzuki,Dzire,L,Sedan,Manual,Petrol,2018,73411,2nd,Delhi,No,8,9176.375,698925
Renault,Kiger,RXL,SUV,Manual,Petrol,2021,138436,1st,Maharashtra,No,5,27687.2,1126125
Kia,Seltos,HTK,SUV,Manual,Petrol,2023,79451,1st,Karnataka,No,3,26483.666666666668,904365
Toyota,Urban Cruiser,ZX,SUV,Manual,Petrol,2020,28178,1st,Maharashtra,No,6,4696.333333333333,1122660
Skoda,Rapid,Style,Sedan,Manual,Diesel,2013,105214,2nd,Tamil Nadu,No,13,8093.384615384615,720736
Honda,City,S,Sedan,Manual,Petrol,2010,93607,2nd,Gujarat,No,16,5850.4375,616040
Nissan,Terrano,XV Premium,SUV,Manual,Petrol,2013,42729,2nd,Karnataka,No,13,3286.846153846154,726726
Maruti Suzuki,Celerio,Z,Hatchback,Manual,Hybrid,2023,131955,1st,Gujarat,No,3,43985.0,1455300
Mahindra,Bolero,AX3,SUV,Manual,CNG,2019,36395,1st,Kerala,No,7,5199.285714285715,729671
Maruti Suzuki,S-Presso,Z,Hatchback,Manual,Petrol,2023,69306,2nd,Karnataka,No,3,23102.0,1680109
Maruti Suzuki,Alto,Z,Hatchback,Manual,Hybrid,2021,157132,1st,Karnataka,No,5,31426.4,1819125
Hyundai,Venue,Era,SUV,Manual,Petrol,2020,100269,2nd,Delhi,No,6,16711.5,990990
